48,인공지능 기술 활용 지구시민교육을 통한 지속가능성 소양의 함양,조현기,서울교육대학교 교육전문대학원,2021,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=3683e126adb6a22bffe0bdc3ef48d419&keyword=인공지능
49,디자인 씽킹 기반의 초등학교 인공지능교육프로그램 프로토타입 개발,김영재,부산대학교 대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=4b4af7d120739c47ffe0bdc3ef48d419&keyword=인공지능
50,초등학생을 위한 직업 연계형 인공지능 교육 프로그램의 개발 및 적용,박혁거세,서울교육대학교 교육전문대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=00cdd53aab04edd6ffe0bdc3ef48d419&keyword=인공지능
51,스토리텔링 기반의 인공지능 교육프로그램 개발,박채은,경인교육대학교 교육전문대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=c6fd63d7784b8c84ffe0bdc3ef48d419&keyword=인공지능
52,초등학생을 위한 인공지능윤리교육 STEAM 프로그램 개발,김지언,경인교육대학교 교육전문대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=9fc4fe0220bd5009ffe0bdc3ef48d419&keyword=인공지능
53,선형 회귀 모델 기반의 인공지능 예측 시스템을 이해하기 위한 초등학생용 교육 프로그램의 개발,이수정,대구교육대학교 교육대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=9a8dee615658fc7effe0bdc3ef48d419&keyword=인공지능
54,인공지능 시대의 사용자 경험 디자인 역량 개발 방향에 관한 연구,전우정,국민대학교 테크노디자인전문대학원,2019,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=859708097ae3e5c1ffe0bdc3ef48d419&keyword=인공지능
55,인공지능(AI)기반 콘텐츠 큐레이션 서비스가 사용자 만족도에 미치는 영향 : 넷플릭스와 네이버(AiRS)를 중심으로,정서윤,홍익대학교 대학원,2019,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=65b3cf1ea49ca891ffe0bdc3ef48d419&keyword=인공지능
56,"초·중등 학생의 인공지능 리터러시, 창의·인성 및 창의적 문제해결능력의 관계 : 한국·중국용 척도개발과 비교연구",권해연,성균관대학교 일반대학원,2022,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=13e449d3653050d3ffe0bdc3ef48d419&keyword=인공지능
57,인공지능을 융합한 과학 수업이 중학생들의 인공지능에 대한 태도 및 데이터 리터러시 역량에 미치는 효과,조연수,이화여자대학교 대학원,2022,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=5e6488aacf49bd3bffe0bdc3ef48d419&keyword=인공지능
58,라벨링 작업에서 인공지능의 판단을 제공하는 인터페이스 제안,김도연,서울대학교 대학원,2022,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=5b1004d33c085594ffe0bdc3ef48d419&keyword=인공지능
59,인공지능 웹 플랫폼을 통한 로고디자인 연구 : 일반사용자의 사전지식 유무를 중심으로,김진석,홍익대학교 대학원,2022,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=473e073eec9cc034ffe0bdc3ef48d419&keyword=인공지능
60,파이썬 기반의 초등학교 인공지능교육 프로그램 개발과 효과 연구 : 머신러닝을 중심으로,심수환,대구교육대학교 교육대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=ff01ca25c83c4834ffe0bdc3ef48d419&keyword=인공지능
61,챗봇 기반 인공지능 교육 프로그램 개발과 적용,한민영,경인교육대학교 교육전문대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=4449286ac27a85a6ffe0bdc3ef48d419&keyword=인공지능
62,인공지능 기반의 국가위기관리정책 발전방향에 관한 연구,최원상,忠南大學校 大學院,2021,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=ff1f2ae91f9aed1affe0bdc3ef48d419&keyword=인공지능
63,미래 인공지능(AI)을 활용한 군사적 위기관리시스템 방안에 관한 연구 : 시스템구축방안을 중심으로,최재민,조선대학교 정책대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=52104ce6ac57d2daffe0bdc3ef48d419&keyword=인공지능
64,연상 키워드를 기반으로 한 초등교사의 인공지능 관련 인식 분석,정슬기,서울교육대학교 교육전문대학원,2020,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=97a4ddfd4bd3e14bffe0bdc3ef48d419&keyword=인공지능
65,인공지능 리터러시 함양을 위한 교양 프로그램 지식체계 설계,김양희,한국방송통신대학교 대학원,2022,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=0023bec397bdfa31ffe0bdc3ef48d419&keyword=인공지능
66,인공지능 기반 한글 보조 학습 도구의 활용이  초등학교 1학년 학생의 쓰기 능력에 미치는 영향,최소정,한국교원대학교 교육대학원,2022,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=f25925a97ac1d4daffe0bdc3ef48d419&keyword=인공지능
67,의료분야의 인공지능 도입과 생명의료윤리 정립 연구,김진동,부산대학교 대학원,2021,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=7d5212b3369ad56affe0bdc3ef48d419&keyword=인공지능
68,인공지능 창작물의 저작권법적 보호방안 연구,김성원,단국대학교 일반대학원,2020,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=565b886c84f6e44cffe0bdc3ef48d419&keyword=인공지능
69,인공지능 작곡 프로그램의 발전 방향의 연구,김진하,상명대학교 일반대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=d3fbae176db33d49ffe0bdc3ef48d419&keyword=인공지능
70,인공지능기술과 인간의 책임 연구 : 한스 요나스의 관점에서,김도윤,제주대학교,2020,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=c1ff790189a6f75fffe0bdc3ef48d419&keyword=인공지능
71,인공지능 드로잉 서비스에 대한 아동 사용자 경험 연구 : 미술에 대한 학습흥미별 서비스 선호를 중심으로,Maeda Ran,홍익대학교 대학원,2019,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=4cd8367e9b8ff492ffe0bdc3ef48d419&keyword=인공지능
72,인공지능 스피커 TV광고에 나타난 젠더 표상과 특성,최다정,忠南大學校 大學院,2019,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=8e1d77ae2eab5b3fffe0bdc3ef48d419&keyword=인공지능
73,인공지능에 관한 저작권법적 쟁점 연구,유민지,고려대학교,2017,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=e95fa0adc87cc593ffe0bdc3ef48d419&keyword=인공지능
74,인공지능(AI) 로봇의 법적 지위 고찰 : 인공지능 로봇의 인격과 법적 책임 귀속,양희철,서울대학교 대학원,2020,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=3cc06f59cafe001effe0bdc3ef48d419&keyword=인공지능
75,인공지능 기술혁신활동 집중도와 기술수준이 기업의 경영 성과에 미치는 영향에 관한 연구,서가희,고려대학교 기술경영전문대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=bde539405a5f09faffe0bdc3ef48d419&keyword=인공지능
76,인공지능 리터러시 향상을 위한 앱 개발 초등 교육 프로그램,김성주,서울교육대학교 교육전문대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=4fc503ff0ade9406ffe0bdc3ef48d419&keyword=인공지능
77,초등학생의 인공지능 리터러시 신장을 위한 교육 프로그램 개발 및 적용,서승희,서울교육대학교 교육전문대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=fccd50d244433759ffe0bdc3ef48d419&keyword=인공지능
78,인공지능과 스마트팜을 이용한 초등 발명교육 프로그램 개발,김정훈,서울교육대학교 대학원,2021,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=558271fab75f446bffe0bdc3ef48d419&keyword=인공지능
79,예술 창작에서의 인공지능 수용 연구 : 혁신수용이론과 역 튜링테스트를 중심으로,이재박,추계예술대학교 대학원,2019,국내박사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=20ff87aa911c8dedffe0bdc3ef48d419&keyword=인공지능
80,인공지능의 유형화에 따른 인공지능의 범죄주체성과 형사책임 : 인공지능의 유형화에 따른 범죄주체성 여부를 중심으로,염혜정,연세대학교 대학원,2019,국내석사,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=be54d9b8bc7cdb09&control_no=5600125cda677b2fffe0bdc3ef48d419&keyword=인공지능
