상품명,가격,링크
삼성전자 갤럭시북 프로 NT950XDX-G51A,1299000,https://search.shopping.naver.com/gate.nhn?id=26964275522
ASUS 비보북프로 15 OLED M3500QC-L1110,1099000,https://search.shopping.naver.com/gate.nhn?id=33743102618
LG전자 울트라PC 14U390-ME1TK,378990,https://search.shopping.naver.com/gate.nhn?id=23642473490
삼성전자 갤럭시북 프로 NT950XDY-A51A,1248990,https://search.shopping.naver.com/gate.nhn?id=26964351522
삼성전자 갤럭시북2 프로 NT950XED-K71A,1899000,https://search.shopping.naver.com/gate.nhn?id=31302532618
LG전자 LG그램 17Z95P-GA56K,1503800,https://search.shopping.naver.com/gate.nhn?id=30229034619
삼성전자 오디세이 NT850XCR-HD7A,1299000,https://search.shopping.naver.com/gate.nhn?id=24041937522
삼성전자 갤럭시북2 프로360 NT930QED-K71A,2248000,https://search.shopping.naver.com/gate.nhn?id=31318535618
Apple 맥북 에어 2020년형 M1 256G 골드 (MGND3KH/A),1251000,https://search.shopping.naver.com/gate.nhn?id=26101850523
MSI GP76 Leopard 11UG,1619000,https://search.shopping.naver.com/gate.nhn?id=27288763522
레노버 아이디어패드 Slim5-15ITL Premiere Plus i5,769000,https://search.shopping.naver.com/gate.nhn?id=26022057522
LG전자 그램14 14ZD90P-GX50K,1186350,https://search.shopping.naver.com/gate.nhn?id=25310958522
디클 클릭북 프로 A50 R5 W10,639000,https://search.shopping.naver.com/gate.nhn?id=30971479618
레노버 리전 5 Pro 16ACH R7 STORM 3070 DOS,1869000,https://search.shopping.naver.com/gate.nhn?id=31352558618
LG전자 울트라PC 16UD70Q-HX56K,1098890,https://search.shopping.naver.com/gate.nhn?id=33517495618
삼성전자 <b>노트북</b> 플러스 NT550XCR-AD5A,667190,https://search.shopping.naver.com/gate.nhn?id=22508532093
삼성전자 <b>노트북</b> 플러스 NT550XCJ-K24W,461990,https://search.shopping.naver.com/gate.nhn?id=30452250621
